artist,availability,colorIdentity,colors,defense,edhrecRank,edhrecSaltiness,frameVersion,keywords,layout,life,loyalty,manaCost,manaValue,name,number,otherFaceIds,power,printings,rarity,setCode,subtypes,supertypes,toughness,types
Pete Venters,"mtgo, paper",W,W,,20102.0,0.27,2003,First strike,normal,,,{5}{W}{W},7.0,Ancestor's Chosen,1,,4,"10E, JUD, UMA",uncommon,10E,"Human, Cleric",,4,Creature
Volkan BaÇµa,"mtgo, paper",W,W,,16213.0,,2003,Flying,normal,,,{4}{W},5.0,Angel of Mercy,2,,3,"10E, 8ED, 9ED, DDC, DVD, IMA, INV, JMP, MB1, P02, PS11, PSAL, S99",uncommon,10E,Angel,,3,Creature
Mark Zug,"mtgo, paper",W,W,,21523.0,0.14,2003,,normal,,,{2}{W},3.0,Angelic Blessing,3,,,"10E, 9ED, EXO, P02, POR, PS11, S00, S99, TPR",common,10E,,,,Sorcery
Jim Murray,"mtgo, paper",W,W,,4816.0,0.23,2003,,normal,,,{3}{W}{W},5.0,Angelic Chorus,4,,,"10E, BBD, USG",rare,10E,,,,Enchantment
John Avon,"mtgo, paper",W,W,,6031.0,,2003,"Defender, Flying",normal,,,{1}{W},2.0,Angelic Wall,5,,0,"10E, AVR, M14, ODY, P02",common,10E,Wall,,4,Creature
D. Alexander Gregory,"mtgo, paper",W,W,,973.0,1.12,2003,,normal,,,{1}{W}{W},3.0,Aura of Silence,6,,,"10E, C15, F02, MB1, PRM, TD0, WC98, WTH",uncommon,10E,,,,Enchantment
Justin Sweet,"mtgo, paper",W,W,,16393.0,,2003,Flying,normal,,,{3}{W},4.0,Aven Cloudchaser,7,,2,"10E, 8ED, 9ED, ODY",common,10E,"Bird, Soldier",,2,Creature
Matthew D. Wilson,"mtgo, paper",W,W,,17270.0,0.2,2003,,normal,,,{3}{W},4.0,Ballista Squad,8,,2,"10E, 9ED, MMQ",uncommon,10E,"Human, Rebel",,2,Creature
Rebecca Guay,"mtgo, paper",W,W,,7002.0,,2003,,normal,,,{W},1.0,Bandage,9,,,"10E, STH, TPR",common,10E,,,,Instant
Rob Alexander,"mtgo, paper",W,W,,3083.0,0.24,2003,,normal,,,{5}{W},6.0,Beacon of Immortality,10,,,"10E, 5DN, E02, MB1",rare,10E,,,,Instant
Zoltan Boros & Gabor Szikszai,"mtgo, paper",W,W,,18999.0,,2003,"First strike, Flash",normal,,,{2}{W},3.0,Benalish Knight,11,,2,"10E, ATH, WTH",common,10E,"Human, Knight",,2,Creature
Steven Belledin,"mtgo, paper",W,W,,13526.0,0.04,2003,,normal,,,{2}{W}{W},4.0,"Cho-Manno, Revolutionary",12,,2,"10E, MMQ, PS11",rare,10E,"Human, Rebel",Legendary,2,Creature
Daren Bader,"mtgo, paper",W,W,,3089.0,0.21,2003,,normal,,,{W},1.0,Condemn,13,,,"10E, C14, C17, CMR, DDL, DIS, M11, P07, PRM, PS11, SCD, TD0, TD2, ZNC",uncommon,10E,,,,Instant
